Name,Latitude,Longitude,City,Country,Website,Category
Battlekart Mouscron,50.7210186,3.3024463,Mouscron,Belgium,https://www.battlekart.com/en/mouscron/,Karting
N/A,50.7525733,4.2611212,N/A,Belgium,N/A,Karting
Indoor Karting Lommel,51.2174072,5.2813388,Lommel,Belgium,N/A,Karting
BattleKart Gent,51.0740776,3.7427723,N/A,Belgium,https://www.battlekart.com/nl/gent,Karting
BattleKart WEX,50.2469595,5.338975,Marche-en-Famenne,Belgium,https://battlekart.com/fr/wex,Karting
Cargo-Karting,50.9907559,5.7005965,Maasmechelen,Belgium,N/A,Karting
Kart,50.4322966,5.9629501,N/A,Belgium,N/A,Karting
First Kart'Inn,50.9060789,4.4166288,Machelen,Belgium,https://www.fki.be/,Karting
Inkart nv,51.0735303,4.3450166,N/A,Belgium,https://www.inkart.be/,Karting
Pro Circuit karting,50.98767,5.5644383,N/A,Belgium,N/A,Karting
Fun Circuit karting,50.9875432,5.5629053,N/A,Belgium,N/A,Karting
John Martin's Karting,50.6149032,5.6625691,N/A,Belgium,N/A,Karting
Rue du Karting,50.0953725,4.5000539,N/A,Belgium,N/A,Karting
Karting des Fagnes,50.0933772,4.5003277,N/A,Belgium,https://www.kartingdesfagnes.com,Karting
N/A,50.2377319,5.3004158,N/A,Belgium,N/A,Karting
Goodwill Karting,51.1493971,4.8923254,Olen,Belgium,https://www.goodwillkarting.be,Karting
Karting Eupen,50.638211,6.0040345,Eupen,Belgium,https://www.karting-eupen.com,Karting
Brussels Kart,50.8713615,4.2797786,Groot-Bijgaarden,Belgium,N/A,Karting
N/A,50.394806,5.8742381,N/A,Belgium,N/A,Karting
"Eastbelgium Action, Fun & Karting Center",50.2333149,6.0795352,Grüfflingen,Belgium,https://www.actioncenter.be/,Karting
Factorykart,50.7527417,4.2612142,Huizingen,Belgium,N/A,Karting
N/A,50.394562,5.8740968,N/A,Belgium,N/A,Karting
Karting,50.3944414,5.8741066,N/A,Belgium,N/A,Karting
Sentier du karting,50.6719568,4.2570805,N/A,Belgium,N/A,Karting
"""X-Treme"" E-karting Battlefield ""De Kegel"" Bowling Minigolf",51.1782178,2.8019276,N/A,Belgium,https://www.bowlingdekegel.be/,Karting
N/A,51.1784223,2.8017715,N/A,Belgium,N/A,Karting
Racelandkart,51.0955714,5.5349351,Oudsbergen,Belgium,N/A,Karting
Karting Amay,50.5474897,5.2972791,N/A,Belgium,N/A,Karting
Kid-karting,51.3133646,3.1227525,N/A,Belgium,N/A,Karting
Action kart,50.9550893,5.3585432,N/A,Belgium,https://www.actionkart.be/,Karting
Karting de Spa-Francorchamps,50.4317683,5.9612551,N/A,Belgium,N/A,Karting
Pit Lane,50.4315564,5.962543,N/A,Belgium,N/A,Karting
Brussels South Karting,50.5413963,4.459954,N/A,Belgium,N/A,Karting
Fastline,50.8602383,5.5070515,N/A,Belgium,N/A,Karting
Paddock karting,50.9881109,5.561374,N/A,Belgium,N/A,Karting
Karting Amay,50.5474717,5.2971907,N/A,Belgium,N/A,Karting
Mini-auto's,50.9625246,5.4143659,N/A,Belgium,N/A,Karting
N/A,50.7412789,4.2808883,N/A,Belgium,N/A,Karting
N/A,50.7411765,4.2810543,N/A,Belgium,N/A,Karting
N/A,50.7410397,4.2811303,N/A,Belgium,N/A,Karting
N/A,49.7991102,5.0842848,N/A,Belgium,N/A,Karting
Worldkarts Poperinge,50.8531164,2.7425149,N/A,Belgium,https://poperinge.worldkarts.com/home,Karting
Skelters,50.7908183,3.9205344,N/A,Belgium,N/A,Karting
N/A,50.7412118,4.2810137,N/A,Belgium,N/A,Karting
Rue du Karting,50.0960968,4.5044804,N/A,Belgium,N/A,Karting
N/A,50.4331308,5.9644255,N/A,Belgium,N/A,Karting
Mini auto 's,50.9831991,5.0648071,N/A,Belgium,N/A,Karting
Green Power Kart,50.4426745,4.4205876,N/A,Belgium,N/A,Karting
Karting Genk Horensbergdam,50.9877178,5.5633807,N/A,Belgium,https://www.kartinggenk.be/,Karting
Imagikart,50.4691192,3.9360291,N/A,Belgium,N/A,Karting
N/A,50.4690512,3.9355228,N/A,Belgium,N/A,Karting
N/A,50.4688963,3.9355811,N/A,Belgium,N/A,Karting
N/A,50.4692963,3.9358453,N/A,Belgium,N/A,Karting
N/A,50.4691185,3.9360619,N/A,Belgium,N/A,Karting
N/A,50.7412904,4.280973,N/A,Belgium,N/A,Karting
N/A,50.7415847,4.2813425,N/A,Belgium,N/A,Karting
N/A,50.7415405,4.2812183,N/A,Belgium,N/A,Karting
N/A,51.1494047,4.8923709,N/A,Belgium,N/A,Karting
N/A,51.1492578,4.892838,N/A,Belgium,N/A,Karting
N/A,51.1495732,4.8919767,N/A,Belgium,N/A,Karting
N/A,51.1492763,4.8922116,N/A,Belgium,N/A,Karting
Karting Bouillon,49.7990602,5.0844853,N/A,Belgium,https://www.kartingbouillon.com/,Karting
BattleKart,50.8651088,4.3479056,N/A,Belgium,https://www.battlekart.com/,Karting
BattleKart,50.9471772,5.5123264,N/A,Belgium,N/A,Karting
Raceland Karting,51.4614083,7.9430253,Arnsberg,Germany,http://raceland-karting.de,Karting
Lap's Kart Center,51.219202,12.7175287,N/A,Germany,N/A,Karting
Indoor Kartbahn Werther,52.0789634,8.4219923,Werther (Westf.),Germany,https://www.kartbahn-werther.de/,Karting
Westerwaldring,50.7157794,7.7165043,N/A,Germany,N/A,Karting
Kartbahn Ampfing,48.2457972,12.4426174,N/A,Germany,https://www.kartshop-ampfing.de,Karting
Jugendkarttrainingsgelände,49.9739452,12.067379,N/A,Germany,N/A,Karting
DSP Drift- und Spielepark UG,48.8003914,9.8288498,Schwäbisch Gmünd,Germany,N/A,Karting
Kartbahn,53.1079307,7.6695139,Saterland,Germany,http://www.ramsloh-karting.de/,Karting
sport kart Münster,51.994576,7.6614325,N/A,Germany,N/A,Karting
N/A,52.9048774,8.3589644,N/A,Germany,N/A,Karting
Berlin Kart,52.4794909,13.4327678,Berlin,Germany,http://www.berlin-kart.de/,Karting
Karthalle Fraureuth,50.7098018,12.3619808,Fraureuth,Germany,http://www.karthalle.de/,Karting
Cool Runners Kart GmbH,51.3233,7.3457671,Gevelsberg,Germany,N/A,Karting
Kartbahn,49.2358887,9.0922124,Bad Rappenau,Germany,https://www.kartbahn.de/,Karting
TeamSport E-Karting Kart Palast Funpark,48.2360442,11.3509817,Bergkirchen,Germany,https://teamsport-ekarting.de/standorte/muenchen-west-kart-palast,Karting
Konrads Kartbahn,50.3031137,11.9204716,N/A,Germany,http://www.konrads-kart.de,Karting
Devalkartbahn,50.0021588,11.8033339,N/A,Germany,http://www.skilifte-devalkartbahn.de,Karting
Planet KART-O-MANIA,49.0282901,12.9885463,N/A,Germany,https://www.kart-o-mania.de/,Karting
Kart & Fun Kartbahn Neckartenzlingen,48.5856393,9.2265983,N/A,Germany,http://www.kart-und-fun-neckartenzlingen.de/,Karting
Kart-O-Mania Hannover,52.3517949,9.7136181,Hannover,Germany,https://www.kartomania-hannover.de/,Karting
Kart & Eventcenter,48.9551456,8.5070108,Karlsruhe,Germany,N/A,Karting
Dickarting,48.399186,12.1145573,N/A,Germany,N/A,Karting
Kart Center Landau,49.2075202,8.1285705,N/A,Germany,https://www.kartcenter-landau.de/,Karting
Motodrom Schwerin,53.607012,11.3826489,N/A,Germany,https://www.motodrom-schwerin.de/,Karting
Kartcenter Cologne,50.8710158,6.9879897,Köln,Germany,https://www.kartcenter-cologne.de,Karting
Knatterdrom,52.1401287,7.555741,N/A,Germany,https://www.knatterdrom.de/,Karting
Le Mans Karting,50.9757621,6.8956723,Köln,Germany,https://www.lemanskarting.de/,Karting
ring°kartbahn,50.334402,6.9476353,N/A,Germany,https://www.nuerburgring.de/fahren-erleben/fahren/kartbahn.html,Karting
Indy Kart,48.1769992,8.6145678,Rottweil,Germany,http://www.indykart.de/,Karting
AMC Ehingen,48.3022856,9.6973688,Ehingen (Donau),Germany,http://www.amc-ehingen.de/,Karting
N/A,48.3696562,8.6433305,Sulz am Neckar,Germany,http://www.hallenkartbahn-sulz.de/,Karting
All-Kart,47.8916184,10.6551558,N/A,Germany,http://www.all-kart.de,Karting
Dickarting,48.4023507,12.112047,N/A,Germany,N/A,Karting
Dickarting,48.4024187,12.1120432,N/A,Germany,N/A,Karting
Dickarting,48.4023086,12.1120407,N/A,Germany,N/A,Karting
Kart-o-Mania,48.7822711,9.2339853,N/A,Germany,http://www.kart-arena-stuttgart.de/,Karting
Sim Racing Center,50.5210793,8.8182415,Lich,Germany,https://sim-racing-center.de/index.php/sim-racing-center/,SIM Racing
No limit - die Kartbahn,50.5273868,9.6771114,N/A,Germany,N/A,Karting
Kart-Driving by Richi,51.2786877,9.4732156,Kassel,Germany,http://kartbahn-kassel.de,Karting
Karthalle Mainz,49.9594893,8.2563668,Mainz,Germany,https://karthalle-mainz.de/,Karting
Burnout Celler Kartbahn,52.6088187,10.0613791,Celle,Germany,https://www.celler-kartbahn.com/,Karting
Kart Center Hildesheim,52.1625029,9.9400636,Hildesheim,Germany,https://www.kartcenterhildesheim.de,Karting
Kart Palast,49.2508535,6.978161,Saarbrücken,Germany,http://www.kart-palast.com,Karting
Burgpark Ring Kart-Bahn,49.4954589,9.7523423,N/A,Germany,N/A,Karting
Hallenkartbahn Stralsund,54.3070627,13.0589975,Stralsund,Germany,http://www.kartbahn-mv.de/Stralsund/home.html,Karting
Kart-Center Erfurt,51.0079167,11.0204243,Erfurt,Germany,http://www.kart-center-erfurt.de,Karting
Battle-Kart,53.0982856,9.9815404,Bispingen,Germany,https://bispingen.battlekart.com,Karting
Indoorkart Usedom,53.877482,13.9197399,Usedom,Germany,N/A,Karting
DWA Racing Kartbahn,52.8565646,8.750856,N/A,Germany,N/A,Karting
Eco Kart Kiel,54.2837931,10.1476657,N/A,Germany,https://ecokart-kiel.de/,Karting
SimRacing-Center Düsseldorf,51.1947651,6.823652,Düsseldorf,Germany,https://simracing-center.de,SIM Racing
KARTCENTER LANDSBERG,48.0707555,10.8628723,N/A,Germany,N/A,Karting
Go kart Gramkow,53.9187406,11.3189757,Hohenkirchen,Germany,https://www.racingo.de/kartbahnen/de/kartbahn-gramkow/,Karting
Michael Becker & Team,51.2011336,7.9647383,Finnentrop,Germany,https://wt-becker.weebly.com/finnentrop-zentrale.html,Karting
TeamSport E-Karting,51.2153122,6.4686432,N/A,Germany,https://teamsport-ekarting.de/standorte/moenchengladbach,Karting
Kartodrom Elles,50.6942751,7.4472748,N/A,Germany,https://www.kartbahn-deutschland.de/,Karting
N/A,53.507499,11.0955844,N/A,Germany,N/A,Karting
Rollende Kühe,51.3006735,12.3677891,N/A,Germany,N/A,Karting
Kartbahn CalaRace,48.5498058,7.8400419,N/A,Germany,https://www.cala-race.com/,Karting
JCSimRacing,50.3304545,7.2467328,N/A,Germany,N/A,SIM Racing
BattleKart Mayen-Koblenz,50.330435,7.2464563,N/A,Germany,N/A,Karting
Sim Racing Store,50.5210654,8.8182748,Lich,Germany,https://sim-racing-center.de/index.php/simraceshop-offline-store/,SIM Racing
Kart Raceland,47.6077958,7.5961244,N/A,Germany,https://kartraceland.de/,Karting
Kart Arena,50.1696434,11.1664434,N/A,Germany,https://www.actionarena.de,Karting
BattleKart,50.8665467,9.7204758,Bad Hersfeld,Germany,N/A,Karting
N/A,47.5305118,10.2641957,Sonthofen,Germany,N/A,Karting
Kartbahn Bous,49.2760841,6.7901168,N/A,Germany,https://kartbahn-bous.de,Karting
N/A,51.554356,6.2064243,N/A,Germany,N/A,Karting
Geschicklichkeits-Kartbahn,51.5567992,6.2089761,N/A,Germany,N/A,Karting
Geschicklichkeits-Kartbahn,51.5566705,6.2088881,N/A,Germany,N/A,Karting
Daytona Kart-Center,51.4905973,6.9558943,Essen,Germany,https://www.daytona-kartbahn.de,Karting
ProKart Raceland,49.3264129,12.2149632,Wackersdorf,Germany,http://www.prokart-raceland.com/home/,Karting
Cartion,48.6377322,8.9090784,Gärtringen,Germany,http://www.kartion.de,Karting
Kart Arena,48.7447419,11.4686675,Ingolstadt,Germany,N/A,Karting
GO102,51.9984701,12.9926774,Niedergörsdorf,Germany,https://go102.de/,Karting
Kartbahn B68,52.0061008,8.4776252,Bielefeld,Germany,N/A,Karting
Kartland,52.5861179,13.3088157,Berlin,Germany,https://kartland.de/,Karting
N/A,50.4010902,6.5296641,N/A,Germany,N/A,Karting
N/A,50.400632,6.5303648,N/A,Germany,N/A,Karting
N/A,50.4008264,6.5298163,N/A,Germany,N/A,Karting
N/A,50.4006593,6.529465,N/A,Germany,N/A,Karting
N/A,50.4009248,6.5312805,N/A,Germany,N/A,Karting
N/A,48.698032,9.4115579,N/A,Germany,N/A,Karting
F1 motodrom,48.697985,9.4114448,Wernau (Neckar),Germany,https://f1-motodrom.de/,Karting
Kartcenter Rostock,54.1313466,12.0803916,Rostock,Germany,http://www.kartcenter-rostock.de/,Karting
Hanse Gokart Racing,54.1250397,12.1709705,N/A,Germany,http://www.hansegokart.de,Karting
Odenwaldring,49.9303497,9.0174133,N/A,Germany,N/A,Karting
Traktorbahn,47.8654618,8.8919443,N/A,Germany,N/A,Karting
Quadbahn,47.8660594,8.8918475,N/A,Germany,N/A,Karting
Kartbahn,49.2969212,8.6020846,N/A,Germany,N/A,Karting
Kartbahn Urloffen,48.5691395,7.9624514,N/A,Germany,N/A,Karting
N/A,52.8564339,8.7507611,N/A,Germany,N/A,Karting
N/A,52.8562625,8.7495156,N/A,Germany,N/A,Karting
Cockpit Kartarena,51.8349407,6.654622,Bocholt,Germany,N/A,Karting
N/A,49.3266104,12.2135141,N/A,Germany,N/A,Karting
Karthalle Coswig,51.1479025,13.539857,Coswig,Germany,https://www.karthalle-coswig.de/,Karting
N/A,51.9470965,8.2213546,N/A,Germany,N/A,Karting
Buggy Racer,49.2066764,10.9019262,N/A,Germany,N/A,Karting
N/A,51.6633099,14.2587691,N/A,Germany,N/A,Karting
N/A,51.6631368,14.2571544,N/A,Germany,N/A,Karting
Spiel-Preis GmbH & Co. KG,49.322263,11.3378354,Burgthann,Germany,https://www.spiel-preis.de,Karting
RS Speedworld,51.2157644,6.634825,Kaarst,Germany,https://www.gokart-online.de/,Karting
BattleKart St-Leon-Rot,49.2479822,8.6443192,St. Leon-Rot,Germany,N/A,Karting
N/A,51.3965125,14.3889349,N/A,Germany,N/A,Karting
N/A,50.7694525,6.551706,N/A,Germany,N/A,Karting
N/A,50.7694598,6.551747,N/A,Germany,N/A,Karting
Kartbahn Schönerlinde,52.6569094,13.4175248,N/A,Germany,http://www.kartbahn-schoenerlinde.de/,Karting
SAX Racing Kartbahn,51.3502516,12.198436,N/A,Germany,N/A,Karting
N/A,54.4200563,13.4592795,N/A,Germany,N/A,Karting
Kartbahn Alfsee,52.4914393,7.9890603,N/A,Germany,https://www.kart-am-alfsee.de/,Karting
Kartbahn Lühneburg,53.1918362,10.368571,Embsen,Germany,https://www.kartbahn-lueneburg.de/,Karting
N/A,50.0079841,7.3904351,N/A,Germany,N/A,Karting
N/A,53.1078205,7.6688234,N/A,Germany,N/A,Karting
Schleswig-Ring,54.5353923,9.5832185,N/A,Germany,http://www.kartbahn-schleswig.de/,Karting
GoKart-Bahn,52.9063443,8.3586471,N/A,Germany,N/A,Karting
Kartbahn,52.0252474,11.2822629,N/A,Germany,N/A,Karting
Sommerrodelbahn Eckartsberga,51.1184315,11.5602915,N/A,Germany,N/A,Karting
Mainfranken Motodrom,49.8118638,9.8916964,Würzburg,Germany,https://www.ekart-center.de,Karting
The Kart Company Emsbüren,52.3752851,7.3092193,N/A,Germany,https://www.kartcompanyemsbueren.de/de/,Karting
Kartbahn Gerolzhofen,49.9007773,10.3647077,N/A,Germany,N/A,Karting
N/A,48.119881,7.786995,N/A,Germany,N/A,Karting
N/A,50.0016364,10.5435158,N/A,Germany,N/A,Karting
N/A,52.8025744,7.1647106,N/A,Germany,N/A,Karting
Emslandring Dankern,52.802666,7.1644959,Haren (Ems),Germany,https://emslandring.de/,Karting
Kartbahn GRIP,48.0642079,9.4102489,N/A,Germany,http://kartbahn-herbertingen.de/,Karting
Kart-Bahn,47.8923242,11.4321247,N/A,Germany,N/A,Karting
Fahr-Werk Kartbahn,49.8833669,8.8165716,Groß-Zimmern,Germany,https://www.fahrwerk.de/,Karting
Kartsporthalle,51.7837613,13.3956463,N/A,Germany,N/A,Karting
N/A,52.9059946,8.3590235,N/A,Germany,N/A,Karting
N/A,52.9058392,8.358755,N/A,Germany,N/A,Karting
N/A,52.9059477,8.3587166,N/A,Germany,N/A,Karting
N/A,51.2073695,6.235136,N/A,Germany,N/A,Karting
N/A,49.2117812,7.978835,N/A,Germany,N/A,Karting
Speedykart-Kartbahn,53.5454767,13.3208348,N/A,Germany,https://www.racingo.de/kartbahnen/de/kartbahn-neubrandenburg,Karting
Powerhall,50.8640493,12.8576867,Chemnitz,Germany,https://www.powerhall.de/,Karting
N/A,53.1011104,9.979,N/A,Germany,N/A,Karting
Go-Karting,50.9430797,14.8778786,N/A,Germany,N/A,Karting
Kartbahn,54.4227296,11.1880328,N/A,Germany,N/A,Karting
N/A,49.1433303,8.4306642,N/A,Germany,N/A,Karting
Go! Indoor eKart,49.44309,7.7323445,Kaiserslautern,Germany,https://gokartbahn.net/,Karting
Ecodrom Kartbahn Neu-Ulm,48.3947831,10.010906,Neu-Ulm,Germany,https://ecodrom.de/,Karting
Spreewaldring Kartcenter,51.9998127,13.6895118,Schönwald,Germany,https://kart-center.de/,Karting
N/A,48.2464142,12.4432041,N/A,Germany,N/A,Karting
N/A,48.2458666,12.4434546,N/A,Germany,N/A,Karting
N/A,48.2457786,12.4430374,N/A,Germany,N/A,Karting
N/A,48.2459237,12.4430092,N/A,Germany,N/A,Karting
Kartcity,52.3275592,10.5234802,Braunschweig,Germany,https://www.kartcity.de/,Karting
Kartcity,52.3274884,10.5240386,N/A,Germany,https://www.kartcity.de/,Karting
Kartcenter Hungen,50.4764662,8.9130512,Hungen,Germany,https://kartbahn-hungen.de/,Karting
KARTBAHN Alemannenring,47.7553621,8.8663428,Singen (Hohentwiel),Germany,http://www.kartbahn-alemannenring.com,Karting
N/A,54.5354023,9.583241,N/A,Germany,N/A,Karting
Racing Club Gevenich,50.1475658,7.0837042,N/A,Germany,N/A,Karting
Kartbahn Oppenrod Stefan Bellof,50.5860917,8.8130094,N/A,Germany,N/A,Karting
Kartfun Astenberg,51.168952,8.4871559,Winterberg,Germany,http://www.kartfun-astenberg.de,Karting
Kartbahn Schwarzbach,50.4895303,10.8340312,Schwarzbach,Germany,N/A,Karting
Indoor-Karting Rheinfelden,47.5727373,7.7967441,Rheinfelden (Baden),Germany,https://www.kartbahn-rheinfelden.de/,Karting
Battlekart Aachen,50.9180699,6.1430036,Übach-Palenberg,Germany,aachen.battlekart.com,Karting
Bavaria Kart,48.4759532,10.2769804,Günzburg,Germany,https://bavaria-kart.de/,Karting
Bavaria Kart (Außenbahn),48.4764141,10.2770867,N/A,Germany,https://bavaria-kart.de/,Karting
N/A,51.0582613,14.9553074,N/A,Germany,N/A,Karting
Kartarena Niederkrüchten ST Motorsport Performance GmbH,51.2072002,6.2349927,N/A,Germany,N/A,Karting
N/A,51.207055,6.2347209,N/A,Germany,N/A,Karting
Nordseering,54.1275542,8.8718082,N/A,Germany,https://www.nordseering.de/,Karting
GPN Grand-Prix-Niederrhein,51.6235568,6.2100246,Weeze,Germany,https://www.grand-prix-niederrhein.com/,Karting
Indoor Superkart Hemsbach,49.5956341,8.6321579,Hemsbach,Germany,https://www.indoor-superkart.de/,Karting
N/A,51.997851,12.9932858,N/A,Germany,N/A,Karting
N/A,51.9977684,12.9931022,N/A,Germany,N/A,Karting
RC-Cartbahn,51.4725809,6.8439839,N/A,Germany,N/A,Karting
